name,registry_type,registry_id,registry_court,structure,list_index,list_date_day,list_date_month,list_date_year
Bohnen & Mies Grundstücksverwaltungs-GmbH,HRB,6421,Düren,Gesellschaft mit beschränkter Haftung,0,09,10,2012
Möbelstudio Harrislee UG (haftungsbeschränkt),HRB,9545 FL,Flensburg,Gesellschaft mit beschränkter Haftung,0,02,08,2012
Möbelstudio Harrislee UG (haftungsbeschränkt),HRB,9545 FL,Flensburg,Gesellschaft mit beschränkter Haftung,1,02,08,2012
KUMAvision GmbH,HRB,15105,Memmingen,Gesellschaft mit beschränkter Haftung,0,04,04,2019
KUMAvision GmbH,HRB,15105,Memmingen,Gesellschaft mit beschränkter Haftung,1,22,03,2019
KUMAvision GmbH,HRB,15105,Memmingen,Gesellschaft mit beschränkter Haftung,2,15,06,2012
BGF Beratungsgesellschaft mbH,HRB,24542,Duisburg,Gesellschaft mit beschränkter Haftung,0,08,01,2014
BGF Beratungsgesellschaft mbH,HRB,24542,Duisburg,Gesellschaft mit beschränkter Haftung,1,01,06,2012
ONLYGLASS GMBH,HRB,203730,Walsrode,Gesellschaft mit beschränkter Haftung,0,05,02,2019
ONLYGLASS GMBH,HRB,203730,Walsrode,Gesellschaft mit beschränkter Haftung,1,19,01,2012
ONLYGLASS GMBH,HRB,203730,Walsrode,Gesellschaft mit beschränkter Haftung,2,19,01,2012
ONLYGLASS GMBH,HRB,203730,Walsrode,Gesellschaft mit beschränkter Haftung,3,,,
German Wealth Planning Solutions GmbH,HRB,124879,Hamburg,Gesellschaft mit beschränkter Haftung,0,22,01,2013
German Wealth Planning Solutions GmbH,HRB,124879,Hamburg,Gesellschaft mit beschränkter Haftung,1,18,10,2012
MVZ Kreuztal-Kredenbach GmbH,HRB,9719,Siegen,Gesellschaft mit beschränkter Haftung,0,18,01,2012
Stadtwerk am See Verwaltungs GmbH,HRB,708312,Freiburg,Gesellschaft mit beschränkter Haftung,0,18,07,2012
Stadtwerk am See Verwaltungs GmbH,HRB,708312,Freiburg,Gesellschaft mit beschränkter Haftung,1,26,04,2012
Hans Schwer Baustoffhandel GmbH,HRB,203281,Tostedt,Gesellschaft mit beschränkter Haftung,0,08,02,2012
Hans Schwer Baustoffhandel GmbH,HRB,203281,Tostedt,Gesellschaft mit beschränkter Haftung,1,,,
Hans Schwer Baustoffhandel GmbH,HRB,203281,Tostedt,Gesellschaft mit beschränkter Haftung,2,,,
