firm;date;hrid;postcode;city;hrsection
WHITEGELDER LIMITED; 1. November 2007;HRB 26052;1099;Dresden;HRB
KuG Holzfertighaus GmbH; 12. Juli 2007;HRB 25724;1099;Dresden;HRB
Augustusgarten Beteiligungs GmbH; 1. Februar 2007;HRB 25282;1099;Dresden;HRB
RHE - EL Heimbrock Winkler Wirtschafts- und Steuerberatungsgesellschaft mbH; 3. Mai 2007;HRB 25537;1099;Dresden;HRB
City-Post für Kamenz und Bischofswerda GmbH & Co. KG; 6. September 2007;HRA 6740;1099;Dresden;HRA
Erler & Löhnert Ltd.; 18. Januar 2007;HRB 25231;1099;Dresden;HRB
PRO- Vermietungs- & Dienstleistungs- oHG; 1. März 2007;HRA 6552;1099;Dresden;HRA
Die Bautiger GmbH; 8. Februar 2007;HRB 25305;1099;Dresden;HRB
GRYN Intl GmbH; 5. Juli 2007;HRB 25719;1099;Dresden;HRB
Onlineweg.de Marketing GmbH & Co. KG a. A.; 29. November 2007;HRB 26140;1099;Dresden;HRB
adsolem GmbH; 29. März 2007;HRB 25435;1099;Dresden;HRB
ViandsCare GmbH; 12. Juli 2007;HRB 25728;1099;Dresden;HRB
Therapeia GmbH & Co. KG; 7. Juni 2007;HRA 6639;1099;Dresden;HRA
LZ Zachäus Zahntechnik GmbH; 26. April 2007;HRB 25497;1099;Dresden;HRB
PRECIOSA Deutschland GmbH; 18. Januar 2007;HRB 25233;1099;Dresden;HRB
Wernitz Bau GmbH; 30. August 2007;HRB 25906;1099;Dresden;HRB
Emka Betriebs GmbH & Co. KG Grabsleben; 21. Juni 2007;HRA 6649;1099;Dresden;HRA
Mongbar Gastro und Event GmbH; 18. Juli 2007;HRB 25753;1099;Dresden;HRB
KMC Dienstleistungsservice OHG; 1. März 2007;HRA 6558;1099;Dresden;HRA
German Chemicals Limited; 23. August 2007;HRB 25870;1099;Dresden;HRB
Wolgabus Deutschland GmbH; 12. Juli 2007;HRB 25732;1099;Dresden;HRB
WEA Hilbersdorf Ltd. & Co. KG; 24. Mai 2007;HRA 6626;1099;Dresden;HRA
IntAk Dresden Beteiligungs-GmbH; 1. November 2007;HRB 26060;1099;Dresden;HRB
Sunfilm AG; 5. April 2007;HRB 25465;1099;Dresden;HRB
Windkraft Tornow T05 GmbH & Co. KG; 8. März 2007;HRA 6565;1099;Dresden;HRA
Gunnebo Markersdorf GmbH; 1. März 2007;HRB 25352;1099;Dresden;HRB
German Kebab GmbH; 16. Januar 2007;HRB 25209;1099;Dresden;HRB
ANGERBACH ENTWICKLUNGEN GmbH; 13. Juli 2007;HRB 19477;47058;Duisburg;HRB
Stahl & Stahl GmbH & Co. KG; 12. Oktober 2007;HRA 10123;47058;Duisburg;HRA
Viventeria Gastro Betriebsgesellschaft mbH; 17. August 2007;HRB 19563;47058;Duisburg;HRB
BHL Trockenbau GmbH & Co KG; 13. Juli 2007;HRA 10059;47058;Duisburg;HRA
New - Sono Ltd.; 13. April 2007;HRB 19245;47058;Duisburg;HRB
Gasthaus Freudenberg GmbH; 28. September 2007;HRB 19642;47058;Duisburg;HRB
HelO Personalservice GmbH; 19. Oktober 2007;HRB 19684;47058;Duisburg;HRB
AIR-SEC Mineralische und Organische Duenger Limited; 30. November 2007;HRB 19792;47058;Duisburg;HRB
HMW Service GmbH; 28. Dezember 2007;HRB 19857;47058;Duisburg;HRB
D.F. Immobilien Verwaltungs-GmbH; 28. September 2007;HRB 19645;47058;Duisburg;HRB
Frische Logistik 3000 GmbH & Co. KG in Duisburg; 19. Oktober 2007;HRA 10128;47058;Duisburg;HRA
HS Verwaltungs GmbH; 17. August 2007;HRB 19567;47058;Duisburg;HRB
Schmitz druck & design GmbH & Co. KG; 2. März 2007;HRA 9962;47058;Duisburg;HRA
REWA GmbH & Co. Projektentwicklung KG; 27. April 2007;HRA 10004;47058;Duisburg;HRA
ARDO Deutschland Branch of Antonio Merloni S.p.a.; 31. August 2007;HRB 19591;47058;Duisburg;HRB
ENTERTRAINMENT INT. LTD.; 31. August 2007;HRB 19586;47058;Duisburg;HRB
Arkenau & Gerwers GmbH; 30. März 2007;HRB 19207;47058;Duisburg;HRB
Plan Consulting GmbH; 7. Dezember 2007;HRB 19807;47058;Duisburg;HRB
International Shipping + Transport Beteiligungs GmbH; 1. Juni 2007;HRB 19340;47058;Duisburg;HRB
Utopia 30 GmbH; 17. August 2007;HRB 19564;47058;Duisburg;HRB
Printcom Investment GmbH; 15. Juni 2007;HRB 19390;47058;Duisburg;HRB
Morawa Logistik GmbH; 22. Juni 2007;HRB 19421;47058;Duisburg;HRB
RSS GmbH; 5. April 2007;HRB 19230;47058;Duisburg;HRB
Invest-Star GmbH; 6. Juli 2007;HRB 19450;47058;Duisburg;HRB
BALTEXX GmbH; 21. September 2007;HRB 19630;47058;Duisburg;HRB
Versele-Laga GmbH; 14. September 2007;HRB 19617;47058;Duisburg;HRB
Silogistic Verwaltungs-GmbH; 5. Oktober 2007;HRB 19651;47058;Duisburg;HRB
Avia Handelsgesellschaft mbH; 29. Juni 2007;HRB 19434;47058;Duisburg;HRB
Erneuerbare Energie Ernte Zweiunddreißig GmbH & Co. KG; 15. Juni 2007;HRA 10034;47058;Duisburg;HRA
OMEGA Beteiligungs-GmbH; 16. März 2007;HRB 19177;47058;Duisburg;HRB
Glückspin GmbH; 5. Januar 2007;HRB 18992;47058;Duisburg;HRB
Georges Steinmetzbetrieb Verwaltungsgesellschaft mbH; 30. November 2007;HRB 19773;47058;Duisburg;HRB
Tulip Training GmbH; 11. September 2007;HRB 5190;52349;Düren;HRB
DHJ Immobilienverwaltungs GmbH; 4. Juli 2007;HRB 5161;52349;Düren;HRB
TOP Industry Services GmbH; 6. Dezember 2007;HRB 5243;52349;Düren;HRB
Rur-Wasser-Technik GmbH (RWTG); 16. Mai 2007;HRB 5137;52349;Düren;HRB
Hülswitt 1842 GmbH; 21. August 2007;HRB 56913;40213;Düsseldorf;HRB
Schwitzke & Lüder GmbH; 13. November 2007;HRB 57546;40213;Düsseldorf;HRB
SMI Industriemontagen GmbH & Co. KG; 28. August 2007;HRA 19516;40213;Düsseldorf;HRA
Kronen neunhundertneunzig GmbH & Co. Vorrats KG; 4. Januar 2007;HRA 19099;40213;Düsseldorf;HRA
GEN Software Solutions GmbH; 5. Juni 2007;HRB 56354;40213;Düsseldorf;HRB
GERFA Gebäudereinigung Tahiri & Co. OHG; 13. Februar 2007;HRA 19163;40213;Düsseldorf;HRA
vas solution GmbH; 2. Oktober 2007;HRB 57186;40213;Düsseldorf;HRB
Savi\'f1a GmbH; 6. März 2007;HRB 55797;40213;Düsseldorf;HRB
Kronen tausend68 GmbH; 5. Juni 2007;HRB 56341;40213;Düsseldorf;HRB
WAHA SHIPPING GmbH; 11. September 2007;HRB 57083;40213;Düsseldorf;HRB
SV Dienstleistungs GmbH & Co. KG; 20. März 2007;HRA 19244;40213;Düsseldorf;HRA
Bimical KG; 30. Oktober 2007;HRA 19662;40213;Düsseldorf;HRA
ALBELLA Grundstücks-Vermietungsgesellschaft mbH; 27. März 2007;HRB 55932;40213;Düsseldorf;HRB
Kronen tausend251 GmbH; 18. Dezember 2007;HRB 57765;40213;Düsseldorf;HRB
WATSON Enterprise GmbH; 4. Dezember 2007;HRB 57637;40213;Düsseldorf;HRB
VISION Communication GmbH; 27. Februar 2007;HRB 55705;40213;Düsseldorf;HRB
Webpool Limited; 20. März 2007;HRB 55821;40213;Düsseldorf;HRB
Integron GmbH; 18. September 2007;HRB 57119;40213;Düsseldorf;HRB
Delta Consulting GmbH; 11. Dezember 2007;HRB 57742;40213;Düsseldorf;HRB
HAJOMINA Beteiligungsgesellschaft mbH & Co. Objekt Capgemini/Airport Office KG; 11. September 2007;HRA 19553;40213;Düsseldorf;HRA
Kronen tausend60 GmbH; 29. Mai 2007;HRB 56313;40213;Düsseldorf;HRB
Adisa Gewässerschutzsysteme GmbH; 18. September 2007;HRB 57114;40213;Düsseldorf;HRB
Konsens Institut für wissenschaftliche und kulturelle Zusammenarbeit GmbH; 30. Januar 2007;HRB 55562;40213;Düsseldorf;HRB
onstreamtv GmbH; 24. Juli 2007;HRB 56719;40213;Düsseldorf;HRB
BoV GmbH & Co. KG; 4. Dezember 2007;HRA 19714;40213;Düsseldorf;HRA
Fashionboot Limited; 14. August 2007;HRB 56841;40213;Düsseldorf;HRB
Ratingen Marketing GmbH; 18. Dezember 2007;HRB 57824;40213;Düsseldorf;HRB
The Safe Shop GmbH; 27. März 2007;HRB 55929;40213;Düsseldorf;HRB
Kronen tausend113 GmbH & Co. Vorrats KG; 11. September 2007;HRA 19558;40213;Düsseldorf;HRA
SCHMOLZ + BICKENBACH International GmbH; 11. September 2007;HRB 57079;40213;Düsseldorf;HRB
Signa 07 Wien Immobilienfonds GmbH & Co. KG; 8. Mai 2007;HRA 19314;40213;Düsseldorf;HRA
SpecOils GmbH; 25. September 2007;HRB 57148;40213;Düsseldorf;HRB
01047 Call-by-Call GmbH; 23. Januar 2007;HRB 55519;40213;Düsseldorf;HRB
Kronen tausend67 GmbH; 29. Mai 2007;HRB 56331;40213;Düsseldorf;HRB
Kerdos Investment-AG m.v.K.; 30. Oktober 2007;HRB 57396;40213;Düsseldorf;HRB
MOLCOBASSO Vermietungsgesellschaft mbH; 20. Dezember 2007;HRB 57891;40213;Düsseldorf;HRB
ARAMIS Factoring GmbH & Co. KG; 9. Oktober 2007;HRA 19629;40213;Düsseldorf;HRA
Kronen tausend168 GmbH; 16. Oktober 2007;HRB 57266;40213;Düsseldorf;HRB
Lipotec GmbH; 9. Januar 2007;HRB 55434;40213;Düsseldorf;HRB
AGES ETS GmbH; 30. Januar 2007;HRB 55580;40213;Düsseldorf;HRB
Kronen neunhundertneunzig GmbH; 4. Januar 2007;HRB 55420;40213;Düsseldorf;HRB
VAW Grundstücksverwaltungsgesellschaft mbH; 4. September 2007;HRB 56993;40213;Düsseldorf;HRB
GAV Gesellschaft für die Aufbereitung und Verwertung mineralischer Reststoffe mbH; 18. September 2007;HRB 57111;40213;Düsseldorf;HRB
Georg der Hausmeister KG; 28. August 2007;HRA 19535;40213;Düsseldorf;HRA
Lindauer GmbH; 5. Juni 2007;HRB 56358;40213;Düsseldorf;HRB
Kronen tausend192 GmbH; 30. Oktober 2007;HRB 57388;40213;Düsseldorf;HRB
Auto-Experts risk engineering services (AERES) T & S GmbH; 20. Februar 2007;HRB 55652;40213;Düsseldorf;HRB
ON Real Estate GmbH; 2. Mai 2007;HRB 56178;40213;Düsseldorf;HRB
CommScope Solutions Germany GmbH; 23. Januar 2007;HRB 55515;40213;Düsseldorf;HRB
Placement24 GmbH; 19. Juni 2007;HRB 56477;40213;Düsseldorf;HRB
KHK Vermögensverwaltungs- und Kapitalbeteiligungs-GmbH; 29. Mai 2007;HRB 56314;40213;Düsseldorf;HRB
Beuer Display GmbH; 20. Dezember 2007;HRB 57856;40213;Düsseldorf;HRB
Carolin Kühn GmbH; 8. Mai 2007;HRB 56193;40213;Düsseldorf;HRB
BACK DAT GmbH; 13. November 2007;HRB 57525;40213;Düsseldorf;HRB
ThyssenKrupp Serrvices Immobilien GmbH; 17. Juli 2007;HRB 56683;40213;Düsseldorf;HRB
IBS-GROUP Deutschland GmbH; 23. Oktober 2007;HRB 57349;40213;Düsseldorf;HRB
pertus Zehnte GmbH; 20. Februar 2007;HRB 55687;40213;Düsseldorf;HRB
WestLB Trust GmbH & Co, Trust Drei KG - Premium Schiffsbeteiligungen; 24. April 2007;HRA 19293;40213;Düsseldorf;HRA
N-Immobilien Objekt Tiefgarage Koblenz GmbH & Co. KG; 11. September 2007;HRA 19552;40213;Düsseldorf;HRA
Merlin Beteiligungs GmbH; 4. Dezember 2007;HRB 57648;40213;Düsseldorf;HRB
WMA Fair Consult GmbH & Co. KG; 3. April 2007;HRA 19261;40213;Düsseldorf;HRA
Bürohaus Osterfeldstraße GmbH & Co. KG; 20. März 2007;HRA 19218;40213;Düsseldorf;HRA
QiX Quality International Effects GmbH & Co. KG; 7. August 2007;HRA 19480;40213;Düsseldorf;HRA
Kronen tausend223 GmbH; 23. Oktober 2007;HRB 57331;40213;Düsseldorf;HRB
Special Care Holding GmbH; 12. Juni 2007;HRB 56418;40213;Düsseldorf;HRB
MediaService Wilczek GmbH; 23. Januar 2007;HRB 55535;40213;Düsseldorf;HRB
SerGil Fashion GmbH; 24. Juli 2007;HRB 56692;40213;Düsseldorf;HRB
Regus Düsseldorf Prinzenpark GP GmbH; 26. Juni 2007;HRB 56533;40213;Düsseldorf;HRB
Riot Marketing GmbH; 20. Februar 2007;HRB 55690;40213;Düsseldorf;HRB
AMV International GmbH; 27. November 2007;HRB 57589;40213;Düsseldorf;HRB
Kronen neunhundertneunundvierzig GmbH; 20. März 2007;HRB 55804;40213;Düsseldorf;HRB
EJT 2009 Düsseldorf gGmbH; 26. Juni 2007;HRB 56534;40213;Düsseldorf;HRB
Kronen tausend13 GmbH; 4. Januar 2007;HRB 55419;40213;Düsseldorf;HRB
Bonventis GmbH; 10. Juli 2007;HRB 56599;40213;Düsseldorf;HRB
chevalé Handels Limited; 25. September 2007;HRB 57144;40213;Düsseldorf;HRB
Grundstücksgesellschaft Gewerbeobjekt Am Erlenkamp mbH; 17. Juli 2007;HRB 56644;40213;Düsseldorf;HRB
MOLCAPRI Vermietungsgesellschaft mbH; 20. Dezember 2007;HRB 57893;40213;Düsseldorf;HRB
CHANTELLE Lingerie GmbH; 26. Juni 2007;HRB 56505;40213;Düsseldorf;HRB
pertus Zwölfte GmbH; 20. März 2007;HRB 55831;40213;Düsseldorf;HRB
PÜHRINGER CORPORATE FINANCE GMBH; 3. April 2007;HRB 56005;40213;Düsseldorf;HRB
BoConcept München Verwaltungs GmbH; 29. Mai 2007;HRB 56293;40213;Düsseldorf;HRB
KB Krankenhausbeteiligungsgesellschaft mbH & Co. KG; 16. Februar 2007;HRA 8857;45130;Essen;HRA
DWHH Uhrenhandel Verwaltungs-GmbH; 12. April 2007;HRB 19812;45130;Essen;HRB
Kuc Industriemontagen GmbH; 12. April 2007;HRB 19811;45130;Essen;HRB
B & O Wohnungswirtschaft GmbH Essen; 2. März 2007;HRB 19745;45130;Essen;HRB
Senotron GmbH; 19. März 2007;HRB 19770;45130;Essen;HRB
ProMedia-Innovation Ltd.; 9. Juli 2007;HRB 19968;45130;Essen;HRB
MediGuide24 GmbH; 2. März 2007;HRB 19740;45130;Essen;HRB
FVGW GmbH Steuerberatungsgesellschaft; 30. November 2007;HRB 20280;45130;Essen;HRB
Treu Immo GmbH; 14. September 2007;HRB 20118;45130;Essen;HRB
merlin Verwaltungs GmbH; 24. August 2007;HRB 20066;45130;Essen;HRB
ALBA Grundstücksverwaltung GmbH; 9. Januar 2007;HRB 19651;45130;Essen;HRB
GAGFAH Vierte Grundbesitz GmbH & Co.KG; 18. Juni 2007;HRA 8918;45130;Essen;HRA
XV. EUROPA-CENTER GmbH & Co. KG; 12. Oktober 2007;HRA 8983;45130;Essen;HRA
DRS Postservice Würzburg GmbH & Co. KG; 27. November 2007;HRA 9010;45130;Essen;HRA
Ingenieurbüro für Bautechnik Neuhaus & Seeger GmbH; 10. August 2007;HRB 20043;45130;Essen;HRB
K & P Bauüberwachung GmbH; 18. Mai 2007;HRB 19876;45130;Essen;HRB
CROCON GmbH; 1. Juni 2007;HRB 19900;45130;Essen;HRB
Lady - Chic Vertriebs GmbH; 27. November 2007;HRB 20256;45130;Essen;HRB
WAZ-Logistik Märkischer Kreis GmbH & Co. KG; 21. September 2007;HRA 8967;45130;Essen;HRA
Rißeler Quality Solutions GmbH; 26. Januar 2007;HRB 19670;45130;Essen;HRB
RCU-VV Zweiundachtzigste Vermögensverwaltung GmbH; 18. April 2007;HRB 19830;45130;Essen;HRB
Verlagsgesellschaft Rheinskaja Gazeta GmbH; 9. März 2007;HRB 19754;45130;Essen;HRB
Evonik Degussa GmbH; 2. November 2007;HRB 20227;45130;Essen;HRB
Mast KG Bollingstedt; 29. November 2007;HRA 5907 FL;24937;Flensburg;HRA
Peter Erichsen Baupartner GmbH; 28. Juni 2007;HRB 6470 FL;24937;Flensburg;HRB
Blitz Dienstleistungs GmbH; 12. April 2007;HRB 6353 FL;24937;Flensburg;HRB
Ellwo Immobilien & Finanzierungen GmbH & Co. KG; 19. Juli 2007;HRA 5765 FL;24937;Flensburg;HRA
Private Investment GmbH; 12. April 2007;HRB 6358 FL;24937;Flensburg;HRB
Windpark Wotan Vierzehnte Betriebs GmbH & Co. KG; 4. Oktober 2007;HRA 5869 FL;24937;Flensburg;HRA
Stadtwerke Husum Netz GmbH; 9. August 2007;HRB 6547 FL;24937;Flensburg;HRB
Friedrichstadt-Huus GmbH & Co. KG; 3. Mai 2007;HRA 5637 FL;24937;Flensburg;HRA
Energiepark Süderbrarup IV GmbH & Co. KG; 26. April 2007;HRA 5632 FL;24937;Flensburg;HRA
smogclean Limited; 15. Februar 2007;HRB 6278 FL;24937;Flensburg;HRB
Baufachmarkt Sievers GmbH; 18. Januar 2007;HRB 6259 FL;24937;Flensburg;HRB
SVS Spedition u. Logistik GmbH; 10. Mai 2007;HRB 6400 FL;24937;Flensburg;HRB
Vitalien - Fitness und Wellness GmbH; 23. August 2007;HRB 6573 FL;24937;Flensburg;HRB
HNB Holt & Nicolaisen Baumanagement GmbH & Co. KG; 1. Februar 2007;HRA 5566 FL;24937;Flensburg;HRA
Roboclean GmbH; 23. August 2007;HRB 6577 FL;24937;Flensburg;HRB
D.F. Young GmbH; 8. Oktober 2007;HRB 81361;60313;Frankfurt am Main;HRB
Katcz GmbH; 6. August 2007;HRB 80807;60313;Frankfurt am Main;HRB
Pyrrha Siebzehnte Vermögensverwaltungs-GmbH; 23. April 2007;HRB 79689;60313;Frankfurt am Main;HRB
WEMA Coating Systems GmbH; 29. Januar 2007;HRB 79024;60313;Frankfurt am Main;HRB
MB Routenplaner GmbH; 27. August 2007;HRB 80981;60313;Frankfurt am Main;HRB
heptus 98. GmbH; 19. November 2007;HRB 81727;60313;Frankfurt am Main;HRB
DIC VP Objekt Köln ECR GmbH; 16. Juli 2007;HRB 80593;60313;Frankfurt am Main;HRB
Datteln Healthcare Immobilien GmbH & Co. KG; 29. Oktober 2007;HRA 44212;60313;Frankfurt am Main;HRA
Life Entertainment GmbH; 23. Juli 2007;HRB 80683;60313;Frankfurt am Main;HRB
ICEP GmbH; 18. Juni 2007;HRB 80244;60313;Frankfurt am Main;HRB
MSREF AGFA-Park Wohnen LP 8 GmbH; 16. Juli 2007;HRB 80630;60313;Frankfurt am Main;HRB
Guard Systems Deutschland GmbH; 26. März 2007;HRB 79460;60313;Frankfurt am Main;HRB
RAKOPAZ GmbH; 1. Oktober 2007;HRB 81277;60313;Frankfurt am Main;HRB
COCUS Sytemintegration GmbH; 16. Oktober 2007;HRB 81406;60313;Frankfurt am Main;HRB
Cosmo Solo MS Bravo REO GmbH; 12. Februar 2007;HRB 79119;60313;Frankfurt am Main;HRB
Intesa Sanpaolo S.p.A. Filiale Frankfurt am Main; 23. April 2007;HRB 79682;60313;Frankfurt am Main;HRB
WOTAN Achtzehnte Beteiligungsgesellschaft mbH; 26. März 2007;HRB 79492;60313;Frankfurt am Main;HRB
Ride & Drive GmbH & Co.KG; 19. November 2007;HRA 44268;60313;Frankfurt am Main;HRA
AWO Seniorendienste Heusenstamm Förder-gGmbH; 24. September 2007;HRB 81231;60313;Frankfurt am Main;HRB
Deukalion Einhundertfünfzehnte Vermögensverwaltungs-GmbH; 23. April 2007;HRB 79702;60313;Frankfurt am Main;HRB
Ralph Weiss GmbH & Co. Vermögensverwaltungs KG; 6. Januar 2007;HRA 43539;60313;Frankfurt am Main;HRA
Frank Am Rebstockpark GmbH & Co. KG; 9. Juli 2007;HRA 43949;60313;Frankfurt am Main;HRA
Fiebig & Fiebig GmbH & Co. KG; 19. November 2007;HRA 44266;60313;Frankfurt am Main;HRA
Hotel am Theater Betriebs-GmbH; 2. April 2007;HRB 79562;60313;Frankfurt am Main;HRB
KOGEP vier GmbH & Co Solar 333 KG; 19. November 2007;HRA 44257;60313;Frankfurt am Main;HRA
ABL-Planungsgesellschaft mbH; 29. Oktober 2007;HRB 81566;60313;Frankfurt am Main;HRB
Düsseldorf Vennhauser Allee Grundstücksgesellschaft mbH & Co KG; 12. Februar 2007;HRA 43607;60313;Frankfurt am Main;HRA
GE Real Estate GmbH; 16. Oktober 2007;HRB 81454;60313;Frankfurt am Main;HRB
Kallisto Sechste Vermögensverwaltungs-GmbH; 11. Dezember 2007;HRB 81987;60313;Frankfurt am Main;HRB
KE Associates GmbH & Co. KG; 22. Oktober 2007;HRA 44183;60313;Frankfurt am Main;HRA
airtuerk service GmbH; 2. Juli 2007;HRB 80417;60313;Frankfurt am Main;HRB
GP-8 Commercial LBC Vesta S.à r.l. & Co. KG; 19. November 2007;HRA 44262;60313;Frankfurt am Main;HRA
Galatea Einhundertsiebenundzwanzigste Vermögensverwaltungs-GmbH; 16. Juli 2007;HRB 80624;60313;Frankfurt am Main;HRB
Rhein-Main-Consult GmbH; 23. April 2007;HRB 79697;60313;Frankfurt am Main;HRB
mfs Rettungsdienst gGmbH; 2. Juli 2007;HRB 80500;60313;Frankfurt am Main;HRB
UNA 134. Equity Management GmbH; 23. April 2007;HRB 79738;60313;Frankfurt am Main;HRB
No. 3 Saarbrücken Real Estate GmbH & Co. KG; 4. September 2007;HRA 44097;60313;Frankfurt am Main;HRA
Heier GmbH; 2. April 2007;HRB 79532;60313;Frankfurt am Main;HRB
FALTEC GmbH; 8. Januar 2007;HRB 78918;60313;Frankfurt am Main;HRB
Clariant Dritte Chemie GmbH; 4. September 2007;HRB 81048;60313;Frankfurt am Main;HRB
FunDeMental Traxx GmbH; 22. Januar 2007;HRB 79007;60313;Frankfurt am Main;HRB
Magnum MS IX GmbH; 11. Dezember 2007;HRB 81933;60313;Frankfurt am Main;HRB
Origo Handels GmbH; 16. Juli 2007;HRB 80628;60313;Frankfurt am Main;HRB
Blitz F07-neunhundert-sechzig-neun GmbH; 29. Oktober 2007;HRB 81527;60313;Frankfurt am Main;HRB
Interseo GmbH; 1. Oktober 2007;HRB 81281;60313;Frankfurt am Main;HRB
Platin 184. GmbH; 2. Juli 2007;HRB 80387;60313;Frankfurt am Main;HRB
SDAW Gesellschaft mit beschränkter Haftung Service und Dienstleistung an Werbeträgern; 26. November 2007;HRB 81785;60313;Frankfurt am Main;HRB
vidiART GmbH Design, Kommunikation, Beratung; 4. Juni 2007;HRB 80095;60313;Frankfurt am Main;HRB
Dom Immobilien 15 GmbH & Co. KG; 12. März 2007;HRA 43669;60313;Frankfurt am Main;HRA
Rheingold GmbH & Co. KG; 6. Januar 2007;HRA 43547;60313;Frankfurt am Main;HRA
Coch & Cie. Corporate Finance Beratung GmbH; 19. Februar 2007;HRB 79224;60313;Frankfurt am Main;HRB
Flores Consulting GmbH; 4. September 2007;HRB 81059;60313;Frankfurt am Main;HRB
Frankfurter Grundbesitz GmbH & Co. 2. Verwaltungs KG; 19. Februar 2007;HRA 43619;60313;Frankfurt am Main;HRA
Brack Capital (Bad Kreuznach) GmbH; 20. August 2007;HRB 80952;60313;Frankfurt am Main;HRB
DF 1 Deutschland GmbH & Co. KG; 9. Juli 2007;HRA 43951;60313;Frankfurt am Main;HRA
mertus Vierunddreißigste GmbH; 26. Februar 2007;HRB 79256;60313;Frankfurt am Main;HRB
Imexcop 681 GmbH; 4. September 2007;HRB 81102;60313;Frankfurt am Main;HRB
MVF GmbH; 5. März 2007;HRB 79309;60313;Frankfurt am Main;HRB
Morgan Stanley Wupper GmbH; 14. Mai 2007;HRB 79925;60313;Frankfurt am Main;HRB
Best Entertainment GmbH; 9. Juli 2007;HRB 80538;60313;Frankfurt am Main;HRB
Creative Balloons Verwaltungs GmbH; 3. Dezember 2007;HRB 81916;60313;Frankfurt am Main;HRB
Mainsee 483. V V GmbH; 26. März 2007;HRB 79469;60313;Frankfurt am Main;HRB
PolyComply Hoechst GmbH; 27. August 2007;HRB 81007;60313;Frankfurt am Main;HRB
Deukalion Einhundertzwanzigste Vermögensverwaltungs-GmbH; 29. Mai 2007;HRB 80044;60313;Frankfurt am Main;HRB
No. 2 Bayreuth Real Estate GmbH & Co. KG; 6. August 2007;HRA 44022;60313;Frankfurt am Main;HRA
A&S Personalberatung GmbH; 2. Januar 2007;HRB 78894;60313;Frankfurt am Main;HRB
Grundstücksgesellschaft Berner 58 AG & Co. KG; 16. April 2007;HRA 43815;60313;Frankfurt am Main;HRA
Erbil Bau GmbH; 21. Mai 2007;HRB 79975;60313;Frankfurt am Main;HRB
MK Gebäudereinigung GmbH; 2. Juli 2007;HRB 80428;60313;Frankfurt am Main;HRB
MSREF Pegasus Frankfurt W2 GmbH; 11. Juni 2007;HRB 80156;60313;Frankfurt am Main;HRB
SEA Connect GmbH; 2. Juli 2007;HRB 80444;60313;Frankfurt am Main;HRB
Urbis No. 88 Potsdamer Platz GmbH; 12. März 2007;HRB 79348;60313;Frankfurt am Main;HRB
Samsung Semiconductor Europe GmbH; 26. November 2007;HRB 81767;60313;Frankfurt am Main;HRB
Henderson-mfi Shopping Center Verwaltungs GmbH; 12. November 2007;HRB 81681;60313;Frankfurt am Main;HRB
Urbis No. 16 Erfurt GmbH; 12. März 2007;HRB 79369;60313;Frankfurt am Main;HRB
Blitz F07-dreihundert-dreißig-sieben GmbH; 16. Juli 2007;HRB 80657;60313;Frankfurt am Main;HRB
Blitz F07-einhundert-dreißig-vier GmbH; 2. Juli 2007;HRB 80331;60313;Frankfurt am Main;HRB
PROCANUS GmbH; 27. August 2007;HRB 81010;60313;Frankfurt am Main;HRB
Platin 159. GmbH; 16. April 2007;HRB 79642;60313;Frankfurt am Main;HRB
Lupus alpha Asia GmbH; 11. Dezember 2007;HRB 81926;60313;Frankfurt am Main;HRB
Blitz F07-einhundert-vierzig-drei GmbH; 2. Juli 2007;HRB 80321;60313;Frankfurt am Main;HRB
Frankfurter Grundbesitz GmbH & Co. Stegstraße 62 KG; 26. November 2007;HRA 44285;60313;Frankfurt am Main;HRA
Blitz F07-neunhundert-neunzig-sieben GmbH; 3. Dezember 2007;HRB 81881;60313;Frankfurt am Main;HRB
appy-products GmbH; 5. März 2007;HRB 79286;60313;Frankfurt am Main;HRB
TOPOS GmbH; 12. Februar 2007;HRB 79142;60313;Frankfurt am Main;HRB
Galatea Einhundertneunzehnte Vermögensverwaltungs-GmbH; 29. Mai 2007;HRB 80066;60313;Frankfurt am Main;HRB
Mainsee 533. V V GmbH; 22. Oktober 2007;HRB 81483;60313;Frankfurt am Main;HRB
Blitz F07-einhundert-sechzig-drei GmbH; 13. August 2007;HRB 80843;60313;Frankfurt am Main;HRB
Kleinsorge & Lange GmbH - Privater ambulanter Pflegedienst; 29. Oktober 2007;HRB 81549;60313;Frankfurt am Main;HRB
MAGNAT First Development GmbH & Co. KG; 6. Januar 2007;HRA 43538;60313;Frankfurt am Main;HRA
Q-ING Service GmbH; 8. Oktober 2007;HRB 81352;60313;Frankfurt am Main;HRB
Platin 209. GmbH; 12. November 2007;HRB 81686;60313;Frankfurt am Main;HRB
Blitz F07-zwei-fünfundvierzig SE; 19. November 2007;HRB 81703;60313;Frankfurt am Main;HRB
CM Komplementär F07-886 GmbH & Co. KG; 5. März 2007;HRA 43659;60313;Frankfurt am Main;HRA
CAMPANA Holding GmbH; 14. Mai 2007;HRB 79882;60313;Frankfurt am Main;HRB
Main Management GmbH; 23. Juli 2007;HRB 80686;60313;Frankfurt am Main;HRB
Frankfurter Grundbesitz GmbH & Co. Juliusstraße 6 KG; 26. November 2007;HRA 44284;60313;Frankfurt am Main;HRA
Urbis No. 62 Hamburg - Große Bergstraße GmbH; 12. März 2007;HRB 79335;60313;Frankfurt am Main;HRB
