name,registry_type,registry_id,registry_court,structure,capital,capital_currency,entry_day,entry_month,entry_year,deletion,deletion_month,deletion_year,balance,address,post_code,city,search_policy
Helmut Emil Bartholomäus Beteiligungs-GmbH,HRB,200645,Osnabrück,Gesellschaft mit beschränkter Haftung,25000.0,EUR,21,12,2006,,,,False,Osterheide 7,49124,Georgsmarienhütte,1
Pendolino Verwaltungs GmbH,HRB,60561,Ludwigshafen a.Rhein (Ludwigshafen),Gesellschaft mit beschränkter Haftung,25000.0,EUR,15,12,2006,09,03,2011,False,Industriestraße 109,67063,Ludwigshafen,1
Waltke Management und Handel AG,HRB,61221,Köln,Aktiengesellschaft,50000.0,EUR,03,09,2007,,,,False,Am Alten Forsthaus 1,51429,Bergisch Gladbach,1
Hemoteq AG,HRB,13990,Aachen,Aktiengesellschaft,4795000.0,EUR,27,12,2006,,,,False,Adenauerstraße 15,52146,Würselen,1
ProFinanzKonzept GmbH,HRB,7062 PI,Pinneberg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,30,08,2007,,,,False,Mühlenstraße 52,25421,Pinneberg,1
COIL Container Internationale Logistik GmbH,HRB,200563,Tostedt,Gesellschaft mit beschränkter Haftung,50000.0,DEM,05,12,2006,06,02,2015,False,Am Seepark 39,27607,Langen,1
ARNOLD GmbH,HRB,61255,Köln,Gesellschaft mit beschränkter Haftung,25000.0,EUR,04,09,2007,,,,False,Eschenbroichstraße 38,51469,Bergisch Gladbach,1
Bau Wolters GmbH,HRB,14064,Aachen,Gesellschaft mit beschränkter Haftung,25000.0,EUR,06,02,2007,21,02,2011,False,Am Muldenpfad 10,52499,Baesweiler,1
Kaisereck-Grundstücks-GmbH,HRB,14096,Aachen,Gesellschaft mit beschränkter Haftung,25000.0,EUR,02,03,2007,,,,False,Kaiserstraße 15,52249,Eschweiler,1
Solarpark Ebersberg Verwaltungs-GmbH,HRB,14188,Aachen,Gesellschaft mit beschränkter Haftung,25000.0,EUR,04,05,2007,15,04,2009,False,Am Pannhaus 2-8,52511,Geilenkirchen,1
Euronb GmbH,HRB,14517,Aachen,Gesellschaft mit beschränkter Haftung,79500.0,EUR,14,12,2007,19,08,2011,False,Reumontstr. 5,52064,Aachen,1
Four Audio Verwaltungsgesellschaft mbH,HRB,14189,Aachen,Gesellschaft mit beschränkter Haftung,25000.0,EUR,04,05,2007,,,,False,Konrad-Zuse-Straße 4,52134,Herzogenrath,1
Aixzenta GmbH,HRB,14413,Aachen,Gesellschaft mit beschränkter Haftung,25000.0,EUR,26,09,2007,,,,False,Giselastraße 7,52066,Aachen,1
Dr. K. Wimmer GmbH & Co. Photovoltaik KG,HRA,7023,Aachen,Kommanditgesellschaft,,,11,12,2007,31,07,2008,False,Bilsteiner Weg 45,52372,Kreuzau,1
Alten- und Pflegeheim St. Josef Übach gGmbH,HRB,13991,Aachen,Gesellschaft mit beschränkter Haftung,25000.0,EUR,27,12,2006,,,,False,Adolfstr. 16,52531,Übach-Palenberg,1
B&M Auto GmbH,HRB,14431,Aachen,Gesellschaft mit beschränkter Haftung,25000.0,EUR,11,10,2007,,,,False,Uelenbender Weg 24,52159,Roetgen,1
Bohrtec Vertical GmbH,HRB,14151,Aachen,Gesellschaft mit beschränkter Haftung,600000.0,EUR,04,04,2007,30,05,2008,False,Im Heidenwinkel 7,77963,Schwanau - Allmannsweier,1
Smets Familien-KG,HRA,6832,Aachen,Kommanditgesellschaft,,,15,05,2007,,,,False,Teichwinkel 11,52074,Aachen,1
Trotec International Holding GmbH,HRB,14451,Aachen,Gesellschaft mit beschränkter Haftung,25200.0,EUR,25,10,2007,,,,False,Grebbener Str. 7,52525,Heinsberg,1
Cash-Juweliere No. 1 GmbH,HRB,14184,Aachen,Gesellschaft mit beschränkter Haftung,25000.0,EUR,03,05,2007,28,04,2010,False,Werner-von-Siemens-Str. 5,97076,Würzburg,1
E-quad Power Systems GmbH,HRB,14128,Aachen,Gesellschaft mit beschränkter Haftung,25100.0,EUR,26,03,2007,,,,False,Nordstern-Park 17a,52134,Herzogenrath,1
ENTEC GmbH & Co DEVELOPMENTS KG,HRA,2701,Amberg,Kommanditgesellschaft,,,13,04,2007,,,,False,"Michelfeld, Pferracher Berg 12",91275,Auerbach i.d.Opf.,1
ITC International trade company GmbH,HRB,4124,Amberg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,21,10,2007,,,,False,Oberer Mühlweg 17,93133,Burglengenfeld,1
CC GmbH Diskothekenbetrieb,HRB,4120,Amberg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,15,10,2007,,,,False,Hoher-Bogen-Straße 23,92421,Schwandorf,1
Uschold Fleisch- und Wurstwaren GmbH,HRB,4026,Amberg,Gesellschaft mit beschränkter Haftung,30000.0,EUR,29,03,2007,11,01,2018,False,Johannes-Gutenberg-Str. 4,92245,Kümmersbruck,1
Steff Concepts GmbH,HRB,4005,Amberg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,26,02,2007,06,04,2016,False,Am Schafhügel 1,92289,Ursensollen,1
GRAMMER Immobilien Objekt Regensburg B GmbH,HRB,4015,Amberg,Gesellschaft mit beschränkter Haftung,50000.0,EUR,09,03,2007,14,12,2016,False,Ziegelgasse 12,92224,Amberg,1
Ferina Amberg GmbH,HRB,4083,Amberg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,17,07,2007,02,05,2018,False,Schlachthausstr. 57,92224,Amberg,1
Dieter Kohl Verwaltungs GmbH,HRB,3977,Amberg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,09,01,2007,,,,False,Auenweg 4,92265,Edelsfeld,1
E & T Aichaberg GmbH & Co. BHKW I KG,HRA,2741,Amberg,Kommanditgesellschaft,,,22,08,2007,,,,False,Heideweg 24,92263,Ebermannsdorf,1
STR Seebauer GmbH & Co. KG,HRA,2722,Amberg,Kommanditgesellschaft,,,04,07,2007,,,,False,Girnitz 9 a,92447,Schwarzhofen,1
Beck Zimmerei - Holzbau Verwaltungs-GmbH,HRB,4265,Ansbach,Gesellschaft mit beschränkter Haftung,25000.0,EUR,21,02,2007,,,,False,Wolfsbühler Straße 5,91634,Wilburgstetten,1
Landtechnik Vertrieb Windsbach GmbH,HRB,4355,Ansbach,Gesellschaft mit beschränkter Haftung,26000.0,EUR,23,08,2007,,,,False,Wilhelm-Spaeth-Str. 7,91575,Windsbach,1
Circulus KG,HRA,6391,Arnsberg,Kommanditgesellschaft,,,18,06,2007,,,,False,Gut Ringe 1,59602,Rüthen,1
CasuTec ProMining Deutschland GmbH,HRB,7770,Arnsberg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,19,01,2007,30,04,2018,False,Kaiserstraße 25,59505,Bad Sassendorf,1
Pickart GmbH & Co. KG,HRA,6347,Arnsberg,Kommanditgesellschaft,,,22,03,2007,24,06,2019,False,Marktstraße 24,59929,Brilon,1
Frank Schmidt Limited,HRB,7989,Arnsberg,Rechtsform ausl. Rechts HRB,,,24,08,2007,26,05,2014,False,Zum Sonnenufer 36a,59469,Ense,1
VauEss Ltd,HRB,7906,Arnsberg,Rechtsform ausl. Rechts HRB,2.0,EUR,12,06,2007,12,03,2010,False,Fröndenbergerstr 285,58708,Menden,1
Jürgen Laube Sanitär-Heizungskundendienst GmbH,HRB,7879,Arnsberg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,07,05,2007,,,,False,Alter Weg 6,59602,Rüthen,1
Heckmann-de Werk GmbH,HRB,8001,Arnsberg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,03,09,2007,06,01,2011,False,Alter Bahnhof 43,57392,Schmallenberg- Bad Fredeburg,1
Wäscherei Schmidt und Benfer GmbH & Co. KG,HRA,6488,Arnsberg,Kommanditgesellschaft,,,19,12,2007,03,04,2013,False,Wormbacher Straße 28,57392,Schmallenberg,1
SBB Holding GmbH,HRB,9926,Aschaffenburg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,26,02,2007,,,,False,Carl-Zeiss-Straße 3,63755,Alzenau,1
TSV - Telekommunikationsservice Verlags- und Vertriebsgesellschaft mbH,HRB,9983,Aschaffenburg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,18,04,2007,28,09,2011,False,Marktheidenfelder Weg 2-799,63128,Dietzenbach,1
Solarfritze GmbH,HRB,9954,Aschaffenburg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,27,03,2007,,,,False,Kreuzäcker-Ring 7,63814,Mainaschaff,1
EX-Trade Verwaltungs GmbH,HRB,9938,Aschaffenburg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,05,03,2007,,,,False,Kreuzäcker-Ring 2,63814,Mainaschaff,1
Markanovic Limited,HRB,10006,Aschaffenburg,Rechtsform ausl. Rechts HRB,,,15,05,2007,20,03,2009,False,Elsenfelder Straße 30,63906,Erlenbach,1
"BÜGRO, Büroorganisation KG",HRA,4521,Aschaffenburg,Kommanditgesellschaft,,,24,01,2007,30,04,2013,False,Kapellenstraße 1,63920,Großheubach,1
Mentomedia GmbH,HRB,9895,Aschaffenburg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,26,01,2007,,,,False,Siemensstraße 8-10,63897,Miltenberg,1
Pfannmüller Bauingenieur - GmbH,HRB,9863,Aschaffenburg,Gesellschaft mit beschränkter Haftung,25000.0,,02,01,2007,,,,False,Bergstr. 13,63755,Alzenau,1
Spessart Waldquellen GmbH & Co. KG,HRA,4574,Aschaffenburg,Kommanditgesellschaft,,,27,04,2007,28,08,2019,False,Aschaffenburger Straße 199,63857,Waldaschaff,1
Spensberger GmbH & Co. KG,HRA,15888,Augsburg,Kommanditgesellschaft,,,29,03,2007,21,01,2015,False,Schützenstr. 11,86911,Dießen a. Ammersee,1
Besamungsstation Donau-Ries GmbH,HRB,22635,Augsburg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,22,05,2007,,,,False,Balgheimer Straße 26,86753,Möttingen,1
petit pas GmbH,HRB,23020,Augsburg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,23,11,2007,25,07,2019,False,Donnersbergstraße 25,86916,Kaufering,1
Via Claudia Gastro KG,HRA,16052,Augsburg,Kommanditgesellschaft,,,27,09,2007,29,04,2011,False,Augsburger Str. 130,86368,Gersthofen,1
PETOR GmbH,HRB,23040,Augsburg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,29,11,2007,,,,False,Prälat-Bigelmair-Str. 5,86154,Augsburg,1
HB ScanBoo GmbH Steuerberatungsgesellschaft,HRB,22434,Augsburg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,15,02,2007,,,,False,Prinzstraße 51,86153,Augsburg,1
Andreas Streit GmbH,HRB,22878,Augsburg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,10,09,2007,,,,False,Pferseer Straße 7,86150,Augsburg,1
AUP Europe GmbH,HRB,22903,Augsburg,Gesellschaft mit beschränkter Haftung,100000.0,EUR,27,09,2007,,,,False,Steinerne Furt 76,86167,Augsburg,1
Parallelwelten GmbH,HRB,22959,Augsburg,Gesellschaft mit beschränkter Haftung,40000.0,EUR,26,10,2007,18,10,2011,False,Landwehrstraße 60 - 62,80335,München,1
PVD GmbH & Co. KG,HRA,15910,Augsburg,Kommanditgesellschaft,,,25,04,2007,05,09,2018,False,Hofmannstraße 7 b,81379,München,1
Scheidle Seminare GmbH,HRB,22812,Augsburg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,08,08,2007,,,,False,Grottenau 6,86150,Augsburg,1
Baumgartner Hausbau GmbH & Co. KG,HRA,15921,Augsburg,Kommanditgesellschaft,,,03,05,2007,21,12,2011,False,Dorfstraße 16,86568,Hollenbach,1
BrasConsult GmbH Unternehmensberatung,HRB,22460,Augsburg,Gesellschaft mit beschränkter Haftung,50000.0,DEM,28,02,2007,23,10,2015,False,Kreitstraße 28,86926,Greifenberg,1
CP Warehousing GmbH,HRB,22976,Augsburg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,07,11,2007,,,,False,Lindenstraße 6,86507,Oberottmarshausen,1
Laxgang Weinbäck GmbH,HRB,23068,Augsburg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,07,12,2007,07,06,2019,False,Spitalgasse 8,86150,Augsburg,1
Rita Klein Immobilienverwaltung GmbH & Co. KG,HRA,16063,Augsburg,Kommanditgesellschaft,,,02,10,2007,,,,False,Kriststraße 34,86316,Friedberg,1
Wörle GmbH & Co. KG,HRA,16096,Augsburg,Kommanditgesellschaft,,,20,11,2007,,,,False,Jakobsplatz 12,86152,Augsburg,1
Reichman Real Estate GmbH,HRB,22437,Augsburg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,16,02,2007,14,11,2019,False,Terminalstraße Mitte 18,85356,München-Flughafen,1
KUKA Aktiengesellschaft,HRB,22709,Augsburg,Aktiengesellschaft,103416222.0,EUR,27,06,2007,,,,False,Zugspitzstraße 140,86165,Augsburg,1
AXOQUENT GmbH,HRB,22712,Augsburg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,28,06,2007,,,,False,Schlesierstraße 24 i,86438,Kissing,1
Nanocura Limited,HRB,22523,Augsburg,Rechtsform ausl. Rechts HRB,,,28,03,2007,19,06,2012,False,Bruchfeldstraße 21,86637,Wertingen,1
AGROLAB Nord GmbH,HRB,22558,Augsburg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,16,04,2007,04,06,2008,False,Moosstraße 6 a,82279,Eching a. Ammersee,1
Permento Personal-Lösungen GmbH,HRB,22942,Augsburg,Gesellschaft mit beschränkter Haftung,25100.0,EUR,17,10,2007,10,01,2012,False,Maximilianstraße 66,86150,Augsburg,1
Wohnbau Michel GmbH,HRB,22604,Augsburg,Gesellschaft mit beschränkter Haftung,50000.0,DEM,07,05,2007,,,,False,Meraner Straße 24,86165,Augsburg,1
MagnaGen GmbH,HRB,22694,Augsburg,Gesellschaft mit beschränkter Haftung,50000.0,EUR,20,06,2007,,,,False,Pfitznerstraße 30,86938,Schondorf am Ammersee,1
Media Markt TV - HiFi - Elektro GmbH Emden,HRB,200578,Aurich,Gesellschaft mit beschränkter Haftung,101000.0,EUR,26,11,2007,,,,False,Fritz-Reuter-Straße 11,26721,Emden,1
CSB Achte Reedereiverwaltungsgesellschaft mbH,HRB,200467,Aurich,Gesellschaft mit beschränkter Haftung,25000.0,EUR,26,07,2007,08,03,2017,False,Wildeshauser Straße 27,27753,Delmenhorst,1
Wiese Handelsgesellschaft GmbH & Co. KG,HRA,200409,Aurich,Kommanditgesellschaft,,,05,06,2007,18,10,2010,False,Konrektor-Walter-Straße 4,26810,Westoverledingen,1
Fahrzeugbau Booms GmbH & Co. KG,HRA,200568,Aurich,Kommanditgesellschaft,,,01,11,2007,14,06,2010,False,Elisabethstraße 32,06844,Dessau,1
Insel-Immobilien GmbH,HRB,200492,Aurich,Gesellschaft mit beschränkter Haftung,25000.0,EUR,28,08,2007,,,,False,Kirchstraße 14,26548,Norderney,1
Siemetz GmbH,HRB,200452,Aurich,Gesellschaft mit beschränkter Haftung,25000.0,EUR,16,07,2007,26,10,2010,False,Heidestraße 29,26810,Westoverledingen,1
Rhauderfehner Baumschulen KG,HRA,200565,Aurich,Kommanditgesellschaft,,,30,10,2007,09,06,2009,False,Osterhörner Straße 1,26817,Rhauderfehn,1
Bohlen & Doyen Vermögensverwaltungs- und Beteiligungsgesellschaft mbH,HRB,200544,Aurich,Gesellschaft mit beschränkter Haftung,25000.0,EUR,23,10,2007,30,09,2015,False,Hauptstraße 248,26639,Wiesmoor,1
"Briese Schiffahrts GmbH & Co KG MS ""Kukelborg""",HRA,200462,Aurich,Kommanditgesellschaft,,,19,07,2007,,,,False,Hafenstraße 12,26789,Leer,3
Kassieck-Lindstedt Verwaltungs GmbH,HRB,200513,Aurich,Gesellschaft mit beschränkter Haftung,25000.0,EUR,18,09,2007,,,,False,Dreekamp 5,26605,Aurich,1
