name,registry_type,registry_id,registry_court,structure,capital,capital_currency,entry_day,entry_month,entry_year,deletion,deletion_month,deletion_year,balance,address,post_code,city,search_policy
KHH Verwaltungs GmbH,HRB,20332,Bad Kreuznach,Gesellschaft mit beschränkter Haftung,25000.0,EUR,26,04,2007,,,,False,Auf dem Schlag 4,55494,Rheinböllen,1
O&L Technology Deutschland GmbH,HRB,10608,Bad Homburg v.d.H.,Gesellschaft mit beschränkter Haftung,300000.0,EUR,05,06,2007,11,02,2009,False,Kurfürstenstraße 12,40211,Düsseldorf,1
LR (Germany) GmbH,HRB,10546,Bad Homburg v.d.H.,Gesellschaft mit beschränkter Haftung,54250.0,EUR,04,04,2007,22,09,2016,False,Frankfurter Landstraße 2-4,61440,Oberursel,1
ME Medical Evolution GmbH & Co.KG,HRA,4937,Bad Homburg v.d.H.,Kommanditgesellschaft,,,12,12,2007,07,12,2011,False,Reuterweg 1,61267,Neu-Anspach,1
Techmatics GmbH,HRB,10484,Bad Homburg v.d.H.,Gesellschaft mit beschränkter Haftung,25000.0,EUR,17,01,2007,16,07,2012,False,Am Gaßgang 7,61440,Oberursel (Taunus),1
Avinway Consultants GmbH,HRB,10652,Bad Homburg v.d.H.,Gesellschaft mit beschränkter Haftung,25000.0,EUR,11,07,2007,02,12,2015,False,Louisenstraße 59,61348,Bad Homburg v. d. Höhe,1
Hans Schneider Elektronik GmbH,HRB,10839,Bad Homburg v.d.H.,Gesellschaft mit beschränkter Haftung,104000.0,EUR,05,12,2007,,,,False,Industriestraße 4,61449,Steinbach (Taunus),1
Kronenhof Wagner GmbH.,HRB,10793,Bad Homburg v.d.H.,Gesellschaft mit beschränkter Haftung,25000.0,EUR,17,10,2007,25,07,2011,False,Urseler Str. 65,61384,Bad Homburg v. d. Höhe,1
ptrm public transport revenue management GmbH,HRB,10668,Bad Homburg v.d.H.,Gesellschaft mit beschränkter Haftung,25000.0,EUR,19,07,2007,24,02,2010,False,Vilbeler Straße  8a,61381,Friedrichsdorf,1
Meyer Quick Service Logistics GmbH & Co. KG,HRA,4836,Bad Homburg v.d.H.,Kommanditgesellschaft,,,29,12,2006,,,,False,Ludwig-Meyer-Straße 2-4,61381,Friedrichsdorf,1
IAG Halle GmbH,HRB,10814,Bad Homburg v.d.H.,Gesellschaft mit beschränkter Haftung,25000.0,EUR,15,11,2007,04,12,2015,False,Altkönigstraße 110a,61440,Oberursel (Taunus),1
Inter Trade Stahlbau und Licht GmbH & Co. KG,HRA,4895,Bad Homburg v.d.H.,Kommanditgesellschaft,,,17,07,2007,,,,False,In der Au 2,61440,Oberursel (Taunus),1
ECE Expert Computer Equipment GmbH,HRB,10569,Bad Homburg v.d.H.,Gesellschaft mit beschränkter Haftung,36000.0,EUR,02,05,2007,,,,False,Dillinger Straße 36,61381,Friedrichsdorf,1
Schreinerei Neser e.K.,HRA,10751,Bamberg,Einzelkaufmann / Einzelkauffrau,,,09,01,2007,,,,False,Industriestraße 14,96138,Burgebrach,1
Alatec Institut für Softwareentwicklung Bamberg GmbH,HRB,5695,Bamberg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,08,02,2007,02,02,2010,False,Luitpoldstr. 6,96052,Bamberg,1
ZAURITZ INVEST GmbH,HRB,5837,Bamberg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,03,09,2007,,,,False,An der Breitenau 2,96052,Bamberg,1
Ernst Leibinger OHG,HRA,10753,Bamberg,Offene Handelsgesellschaft,,,09,01,2007,,,,False,Dietersberg 90 a,91349,Egloffstein,1
Schreinerei Leibinger OHG,HRA,10752,Bamberg,Offene Handelsgesellschaft,,,09,01,2007,,,,False,Hundshaupten Hs.-Nr. 49 a,91349,Egloffstein,1
PK Objekt Roth 02 Verwaltungs GmbH,HRB,5855,Bamberg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,19,10,2007,,,,False,Luitpoldstraße 5,96052,Bamberg,1
MV-Gastronomie GmbH & Co. KG,HRA,10750,Bamberg,Kommanditgesellschaft,,,05,01,2007,,,,False,Wiesenweg 9,96199,Zapfendorf,1
AB projects GmbH,HRB,5719,Bamberg,Gesellschaft mit beschränkter Haftung,25200.0,EUR,13,03,2007,06,06,2007,False,Hartmannstraße 55,91052,Erlangen,1
Stein Beteiligungs-GmbH,HRB,5661,Bamberg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,12,01,2007,,,,False,Dorfbrunnenstraße 13,91094,Langensendelbach,1
Provascular GmbH,HRB,5866,Bamberg,Gesellschaft mit beschränkter Haftung,25000.0,EUR,19,11,2007,,,,False,Paul-List-Straße 11,04103,Leipzig,1
LUPEG GmbH,HRB,4578,Bayreuth,Gesellschaft mit beschränkter Haftung,25000.0,EUR,15,11,2007,,,,False,Ludwig-Jahn-Str. 7,91257,Pegnitz,1
Wölfel Orthopädie-Schuhtechnik GmbH,HRB,4448,Bayreuth,Gesellschaft mit beschränkter Haftung,25000.0,EUR,16,02,2007,,,,False,Pestalozzistr. 20,95445,Bayreuth,1
REWE-Markt Heimann oHG,HRA,3612,Bayreuth,Offene Handelsgesellschaft,,,07,05,2007,,,,False,Hauptstr. 42,91344,Waischenfeld,1
Die Frucht-Halle Neuenmarkt GmbH,HRB,4503,Bayreuth,Gesellschaft mit beschränkter Haftung,25000.0,EUR,30,04,2007,,,,False,Marktplatz 6,95339,Wirsberg,1
SeniVita Seniorenhaus St. Joseph GmbH,HRB,4552,Bayreuth,Gesellschaft mit beschränkter Haftung,25000.0,EUR,24,08,2007,15,12,2008,False,Nabburger Str. 13,92521,Schwarzenfeld,1
Hutley Germany GmbH,HRB,39014,Bielefeld,Gesellschaft mit beschränkter Haftung,25000.0,EUR,03,07,2007,20,01,2012,False,Feilenstraße 5,33602,Bielefeld,1
T.A.M.M. Consult Wirtschaftsberatung GmbH,HRB,39023,Bielefeld,Gesellschaft mit beschränkter Haftung,25000.0,EUR,20,07,2007,,,,False,Vilsendorfer Straße 20,33739,Bielefeld,1
brago Sporthandels- und Beteiligungsgesellschaft mbH,HRB,39089,Bielefeld,Gesellschaft mit beschränkter Haftung,25000.0,EUR,28,09,2007,11,11,2013,False,Potsdamer Straße 148a,33719,Bielefeld,1
M-Konzept GmbH,HRB,39016,Bielefeld,Gesellschaft mit beschränkter Haftung,26000.0,EUR,09,07,2007,,,,False,Grasmückenweg 4,33607,Bielefeld,1
BOWI GmbH,HRB,38963,Bielefeld,Gesellschaft mit beschränkter Haftung,25000.0,EUR,30,04,2007,18,02,2015,False,Heimweg 8,33604,Bielefeld,1
FLEX-TECH Servicetechnik GmbH,HRB,11074,Bochum,Gesellschaft mit beschränkter Haftung,25000.0,EUR,17,01,2007,21,03,2012,False,Castroper Str. 78,44628,Herne,1
Gebhardt & Koenig - Berg- und Bautechnik GmbH,HRB,11191,Bochum,Gesellschaft mit beschränkter Haftung,51500.0,EUR,18,04,2007,27,10,2010,False,Langekampstr. 36,44652,Herne,1
Schemberg Grundbesitz GmbH & Co. KG.,HRA,6177,Bochum,Kommanditgesellschaft,,,18,12,2007,,,,False,Voßkuhlstr. 23,44797,Bochum,1
Elsing & Fenner GmbH,HRB,11266,Bochum,Gesellschaft mit beschränkter Haftung,25000.0,EUR,18,06,2007,05,05,2015,False,Herzogstr. 8,44651,Herne,1
eventmediagroup Verwaltungs-GmbH,HRB,11182,Bochum,Gesellschaft mit beschränkter Haftung,25000.0,EUR,16,04,2007,,,,False,Konrad-Adenauer-Platz 3,44787,Bochum,1
Getränkesupermarkt Ebbers KG,HRA,6079,Bochum,Kommanditgesellschaft,,,02,04,2007,04,06,2009,False,Industriestraße 42,44894,Bochum,1
Instance Four Verwaltungs-GmbH,HRB,11195,Bochum,Gesellschaft mit beschränkter Haftung,25000.0,EUR,24,04,2007,18,10,2018,False,Unterm Schrick 7 d,44797,Bochum,1
Möbelhaus Biermann KG,HRA,6027,Bochum,Kommanditgesellschaft,,,02,01,2007,,,,False,Kellerstr. 25a,58456,Witten,1
EBS Eickeler-Bau-Service GmbH,HRB,11443,Bochum,Gesellschaft mit beschränkter Haftung,26000.0,EUR,28,11,2007,,,,False,Auf der Wenge 13,44651,Herne,1
Drachenfelssee 605. Vermögensverwaltungs GmbH & Co. KG,HRA,6921,Bonn,Kommanditgesellschaft,,,14,09,2007,11,03,2008,False,Bemeroder Str. 71,30559,Hannover,1
JUUBU LTD. & Co KG,HRA,6865,Bonn,Kommanditgesellschaft,,,06,07,2007,03,11,2009,False,Henri-Spaak-Str. 115,53347,Alfter,1
Gebrüder Ritterath Verwaltungs GmbH,HRB,15822,Bonn,Gesellschaft mit beschränkter Haftung,25000.0,EUR,22,10,2007,,,,False,Meckenheimer Allee 90,53115,Bonn,1
Jeschke Umwelttechnik GmbH Niederlassung Nordrhein-Westfalen,HRB,15177,Bonn,Gesellschaft mit beschränkter Haftung,25000.0,EUR,24,01,2007,07,05,2008,False,Am Storrenacker 24,76139,Karlsruhe,1
FAST LANE NR. 134 LIMITED,HRB,15360,Bonn,Rechtsform ausl. Rechts HRB,,,23,04,2007,23,11,2009,False,Kurt-Schumacher-Straße 18-20,53113,Bonn,1
FAST LANE NR. 118 LIMITED,HRB,15405,Bonn,Rechtsform ausl. Rechts HRB,,,07,05,2007,29,08,2008,False,Kurt-Schumacher-Str. 18-20,53113,Bonn,1
SANDER DEKO-DESIGN GmbH,HRB,15215,Bonn,Gesellschaft mit beschränkter Haftung,25000.0,EUR,21,02,2007,,,,False,Steingrubenweg 7,53894,Mechernich,1
Aera Verlag Duisburg GmbH,HRB,15206,Bonn,Gesellschaft mit beschränkter Haftung,42000.0,EUR,14,02,2007,,,,False,Heisterbacher Straße 240,53332,Bornheim,1
Drachenfelssee 628. V V GmbH,HRB,15779,Bonn,Gesellschaft mit beschränkter Haftung,25000.0,EUR,05,10,2007,20,02,2008,False,Kurt-Schumacher-Str. 18-20,53111,Bonn,1
Drachenfelssee 556. V V GmbH,HRB,15366,Bonn,Gesellschaft mit beschränkter Haftung,25000.0,EUR,24,04,2007,06,09,2007,False,Kurt-Schumacher-Straße 18-20,53113,Bonn,1
Dahl Hotel & Restaurant - GmbH,HRB,15859,Bonn,Gesellschaft mit beschränkter Haftung,25000.0,EUR,12,11,2007,,,,False,Heideweg 17,53343,Wachtberg,1
GTX Pharmaceuticals GmbH,HRB,15538,Bonn,Gesellschaft mit beschränkter Haftung,25000.0,EUR,27,06,2007,06,09,2012,False,Georgenstr. 38a,53111,Bonn,1
FAST LANE NR. SIXTYEIGHT LIMITED,HRB,15143,Bonn,Rechtsform ausl. Rechts HRB,,,12,01,2007,24,01,2008,False,Norderstraße 16,24939,Flensburg,1
Drachenfelssee 565. V V GmbH,HRB,15494,Bonn,Gesellschaft mit beschränkter Haftung,25000.0,EUR,06,06,2007,25,02,2008,False,Kurt-Schumacher-Str. 18-20,53113,Bonn,1
